ルール,説明
挨拶をしっかりと行う,出会ったときの「こんにちは」や別れの際の「さようなら」など基本的な挨拶は非常に重要です。
公共の場でのマナーを守る,電車内での大声での会話や携帯電話の使用を控える、ゴミは持ち帰るなど。
靴を脱いで入る文化を尊重する,家や一部のレストランでは靴を脱ぎ、スリッパに履き替えます。
並ぶ文化を尊重する,バスや電車、レストランなどでの列に並ぶ文化は厳守されます。
ゴミの分別を正確に行う,日本ではゴミの分別が非常に細かく、正しく分別することが求められます。
プライバシーを尊重する,他人のプライバシーや個人空間を尊重することが重要です。
食事マナーを守る,箸の使い方に気をつけ、食べ物を粗末にしない。
時間を守る,約束の時間には正確に、または少し早めに到着する。
お辞儀をする,感謝、挨拶、謝罪の際に用います。
相手の名前に敬称をつける,「さん」や「様」をつけて敬意を表します。
静かに列に並ぶ,秩序を守り、静かに自分の番を待ちます。
会話では相槌を打つ,「うんうん」や「はい」などで聞いていることを示します。
公共の場所での喫煙を避ける,多くの公共の場所や街中で喫煙が禁止されています。
座席を譲る,高齢者、妊婦、障害を持つ人などに席を譲ります。
手紙やメールの丁寧な締めくくり,敬語を使い、丁寧な締めくくりをします。
贈り物や名刺の両手での受け渡し,両手を使い相手に敬意を示します。
大切な物を両手で受け取る,贈り物や書類など、大切なものを受け取る際には両手で受け取り、感謝の意を示します。
食事の前後にお礼を言う,「いただきます」と「ごちそうさまでした」を食事の前後に言って、食べ物への感謝を表します。
道を聞かれたら丁寧に教える,迷っている人に道を尋ねられた場合、可能な限り丁寧に案内を提供します。もし分からない場合は、すみませんが分かりませんと丁寧に伝えます。
公共の場所でのマスク着用,風邪の症状がある時や、最近では感染症予防のために、公共の場所ではマスクを着用することが推奨されています。
小走りで席を譲る,電車などで席を譲る際には、素早く立ち上がり、譲る意志を明確に示します。
飲食店でのテーブルマナー,飲食店では、店の雰囲気に合わせた服装を心掛け、食器やテーブルを汚さないようにします。
お金の直接手渡しを避ける,お金を支払う時は、トレイを使用して直接手から手へ渡さないようにします。これはお金を清潔に扱う文化です。
声を掛ける前に「失礼します」と言う,他人のスペースに入る前や、話しかける前には「失礼します」と言ってから行動します。これは相手への配慮を示します。
公共施設での静かな話し声,図書館や美術館など、公共施設内では静かに話すことで、他人の迷惑にならないようにします。
レジでの列待ち,店舗のレジでは、順番に並んで待ち、割り込みをしないことがマナーとされています。
公共トイレを綺麗に使用する,使用後は次に使う人のことを考え、トイレを綺麗に保つことが求められます。
食事での「おかわり自由」の適切な利用,提供されている「おかわり自由」サービスは、無駄にしないように適量を心掛けます。
公共交通機関での荷物の扱い,電車やバス内で大きな荷物を持っている場合は、他人の迷惑にならないように気をつけます。
エスカレーターでの立ち位置,エスカレーターでは、移動する人のために片側（通常は左側）を空けて立つことが一般的です。
歩きスマホを避ける,歩きながらスマートフォンを使用することは、他人との衝突の原因になり得るため避けます。
ギフトを包装紙で包む,贈り物をする際は、丁寧に包装紙で包んでから渡すことが、心遣いとされています。
電話応対における丁寧な言葉遣い,電話に出る際は、丁寧な言葉遣いを心掛け、相手に礼儀を示します。
約束の時間の5分前到着,時間通りに到着することはもちろん、可能であれば5分前に到着することで、時間に対する敬意を示します。
道を尋ねる際の丁寧な言葉遣い,道を尋ねる際は、「すみません」や「お願いします」など、丁寧な言葉遣いを使用します。
レストランでの予約の確認,レストランを訪れる際には、事前に予約をし、訪問前に予約の確認をすることが礼儀とされています。
