ルール,説明,ルル,エクス
挨拶をしっかりと行う,出会ったときの「こんにちは」や別れの際の「さようなら」など基本的な挨拶は非常に重要です。,Greet properly,"Basic greetings such as ""Hello"" when meeting someone and ""Goodbye"" when saying goodbye are very important."
公共の場でのマナーを守る,電車内での大声での会話や携帯電話の使用を控える、ゴミは持ち帰るなど。,Observe manners in public places,"Refrain from talking loudly or using cell phones on the train, and take your trash home with you."
靴を脱いで入る文化を尊重する,家や一部のレストランでは靴を脱ぎ、スリッパに履き替えます。,Respect the culture of taking off your shoes before entering,Take off your shoes and change into slippers at home and in some restaurants.
並ぶ文化を尊重する,バスや電車、レストランなどでの列に並ぶ文化は厳守されます。,respect the culture of lining up,"The culture of queuing on buses, trains, restaurants, etc. is strictly adhered to."
ゴミの分別を正確に行う,日本ではゴミの分別が非常に細かく、正しく分別することが求められます。,Separate garbage accurately,"In Japan, garbage is separated very precisely, and it is required to separate it correctly."
プライバシーを尊重する,他人のプライバシーや個人空間を尊重することが重要です。,respect privacy,It is important to respect the privacy and personal space of others.
食事マナーを守る,箸の使い方に気をつけ、食べ物を粗末にしない。,Observe meal manners,Be careful how you use chopsticks and don't waste food.
時間を守る,約束の時間には正確に、または少し早めに到着する。,be on time,Arrive exactly or a little early for your appointment.
お辞儀をする,感謝、挨拶、謝罪の際に用います。,take a bow,"It is used to express gratitude, greetings, and apologies."
相手の名前に敬称をつける,「さん」や「様」をつけて敬意を表します。,Add a title to someone's name,"Add ""san"" or ""sama"" to show respect."
静かに列に並ぶ,秩序を守り、静かに自分の番を待ちます。,stand in line quietly,Maintain order and wait your turn quietly.
会話では相槌を打つ,「うんうん」や「はい」などで聞いていることを示します。,Agree in conversation,"Show that you are listening by saying things like ""Yeah yeah"" or ""Yes""."
公共の場所での喫煙を避ける,多くの公共の場所や街中で喫煙が禁止されています。,avoid smoking in public places,Smoking is prohibited in many public places and on the streets.
座席を譲る,高齢者、妊婦、障害を持つ人などに席を譲ります。,give up your seat,"Give up your seat to the elderly, pregnant women, people with disabilities, etc."
手紙やメールの丁寧な締めくくり,敬語を使い、丁寧な締めくくりをします。,A polite conclusion to a letter or email,Use honorific language and conclude politely.
贈り物や名刺の両手での受け渡し,両手を使い相手に敬意を示します。,Handing over gifts and business cards with both hands,Use both hands to show respect to others.
大切な物を両手で受け取る,贈り物や書類など、大切なものを受け取る際には両手で受け取り、感謝の意を示します。,Receive important things with both hands,"When receiving something important, such as a gift or document, accept it with both hands to show your gratitude."
食事の前後にお礼を言う,「いただきます」と「ごちそうさまでした」を食事の前後に言って、食べ物への感謝を表します。,say thank you before and after meals,Saying ``itadakimasu'' and ``gochisousama deta'' before and after meals to show appreciation for the food.
道を聞かれたら丁寧に教える,迷っている人に道を尋ねられた場合、可能な限り丁寧に案内を提供します。もし分からない場合は、すみませんが分かりませんと丁寧に伝えます。,"When asked for directions, politely give directions","If someone who is lost asks for directions, we will provide them with directions as politely as possible. If you don't understand, politely tell them that you don't understand."
公共の場所でのマスク着用,風邪の症状がある時や、最近では感染症予防のために、公共の場所ではマスクを着用することが推奨されています。,Wearing a mask in public places,It is recommended to wear a mask when you have cold symptoms or in public places to prevent infection.
小走りで席を譲る,電車などで席を譲る際には、素早く立ち上がり、譲る意志を明確に示します。,trot over to give up your seat,"When giving up your seat on a train, etc., stand up quickly and clearly show your intention to give up."
飲食店でのテーブルマナー,飲食店では、店の雰囲気に合わせた服装を心掛け、食器やテーブルを汚さないようにします。,Table manners at restaurants,"When going to a restaurant, try to dress in a way that matches the atmosphere of the restaurant and avoid staining dishes and tables."
お金の直接手渡しを避ける,お金を支払う時は、トレイを使用して直接手から手へ渡さないようにします。これはお金を清潔に扱う文化です。,Avoid handing over money directly,"When paying, use a tray to avoid passing money directly from hand to hand. This is a culture that handles money cleanly."
声を掛ける前に「失礼します」と言う,他人のスペースに入る前や、話しかける前には「失礼します」と言ってから行動します。これは相手への配慮を示します。,"Say ""excuse me"" before speaking to someone","Before entering someone's space or speaking to them, say ""excuse me"" before acting. This shows consideration for the other person."
公共施設での静かな話し声,図書館や美術館など、公共施設内では静かに話すことで、他人の迷惑にならないようにします。,Quiet voices in public facilities,Speak quietly in public facilities such as libraries and museums to avoid disturbing others.
レジでの列待ち,店舗のレジでは、順番に並んで待ち、割り込みをしないことがマナーとされています。,Waiting in line at the cash register,"At store registers, it is considered good manners to wait in line and not to interrupt."
公共トイレを綺麗に使用する,使用後は次に使う人のことを考え、トイレを綺麗に保つことが求められます。,Use public toilets cleanly,"After using the toilet, it is important to keep the toilet clean and considerate of the next person who will use it."
食事での「おかわり自由」の適切な利用,提供されている「おかわり自由」サービスは、無駄にしないように適量を心掛けます。,Appropriate use of “free refills” at meals,"With the ""free refill"" service provided, we make sure to take the right amount so as not to waste it."
公共交通機関での荷物の扱い,電車やバス内で大きな荷物を持っている場合は、他人の迷惑にならないように気をつけます。,Handling luggage on public transport,"If you are carrying large luggage on a train or bus, be careful not to disturb others."
エスカレーターでの立ち位置,エスカレーターでは、移動する人のために片側（通常は左側）を空けて立つことが一般的です。,standing position on the escalator,"On escalators, it is common to stand on one side (usually the left side) for people traveling."
歩きスマホを避ける,歩きながらスマートフォンを使用することは、他人との衝突の原因になり得るため避けます。,Avoid smartphones while walking,Avoid using your smartphone while walking as it can cause collisions with others.
ギフトを包装紙で包む,贈り物をする際は、丁寧に包装紙で包んでから渡すことが、心遣いとされています。,wrap a gift in wrapping paper,"When giving a gift, it is considered thoughtful to carefully wrap it in wrapping paper before handing it over."
電話応対における丁寧な言葉遣い,電話に出る際は、丁寧な言葉遣いを心掛け、相手に礼儀を示します。,Polite language when answering the phone,"When answering the phone, be polite and show courtesy to the person on the other end."
約束の時間の5分前到着,時間通りに到着することはもちろん、可能であれば5分前に到着することで、時間に対する敬意を示します。,Arrive 5 minutes before the appointed time,"Show respect for time by arriving on time and, if possible, arriving 5 minutes early."
道を尋ねる際の丁寧な言葉遣い,道を尋ねる際は、「すみません」や「お願いします」など、丁寧な言葉遣いを使用します。,Polite language when asking for directions,"When asking for directions, use polite language such as ""excuse me"" or ""please."""
レストランでの予約の確認,レストランを訪れる際には、事前に予約をし、訪問前に予約の確認をすることが礼儀とされています。,Confirm your reservation at a restaurant,"When visiting a restaurant, it is considered polite to make a reservation in advance and confirm the reservation before visiting."
